feature,media,desvio
fixed acidity,7.222974793149913,1.3101736874707763
volatile acidity,0.34096305560900614,0.1642946070211191
citric acid,0.3183047912257028,0.14440189705119313
residual sugar,5.454473734847038,4.713679352626886
chlorides,0.056573792572638074,0.03673971957603097
free sulfur dioxide,30.420242447565904,17.888238280742833
total sulfur dioxide,115.43938810852414,57.02399733727345
density,0.9947259043679021,0.0029622082145169654
pH,3.2184394843178743,0.16157765829756
sulphates,0.5333827208004638,0.15134731440087512
alcohol,10.486600602911974,1.1921154225306732
